cost_eth,tx_hash,block_no
0.000245320738511776,0x57d7…19dc,1111210
0.000235009429184512,0xd771…4b4a,1111509
0.000260800630098136,0x729e…0367,1111809
0.000264714422303028,0xc3b6…6113,1112109
0.000222460482984072,0xb6c8…25c7,1112411
0.000225751389803792,0xadcb…0ff9,1112711
0.000250415149626723,0x2b66…39ed,1113007
0.000221635747561944,0xfce4…a982,1113309
0.000235508169621280,0xcf49…d1d2,1113610
0.000238957995009280,0x4211…331a,1113908
0.000241523251498448,0x92fd…dd8c,1114209
0.000223470969941024,0x162d…7c9f,1114511
0.000237193344203392,0xcff8…6196,1114808
0.000240576751931832,0x25bf…d302,1115109
0.000229826504505896,0xdc40…5f81,1115408
0.000253169501581864,0xa1d9…12ed,1115708
0.000212493315336568,0x798b…5f33,1116009
0.000194083205967200,0xd7b9…1eb9,1116312
0.000245310278155344,0x32eb…8607,1116607
0.000243980673063816,0x9785…d317,1116910
0.000237623748399176,0xa2a4…9fe1,1117211
0.000232919757378600,0xb701…63be,1117510
0.000246173512267800,0xb3af…266d,1117810
0.000236482615913640,0xe5c1…78f8,1118108
0.000238594845017008,0x551d…0905,1118407
0.000244653179411992,0xefe1…e24d,1118708
0.000227438159627288,0x3c27…2e35,1119010
0.000244785455769087,0x2444…95c4,1119310
0.000231586671118984,0x1705…42d9,1119607
0.000236896409236480,0x7610…c427,1119911
0.000226444242141760,0x2fa0…1047,1120208
0.000241806849152019,0xc0ff…8b55,1120508
0.000236397493222280,0x7fd9…b50e,1120809
0.000226932928015304,0xd8cc…edb5,1121111
0.000239508475975208,0xe634…69ae,1121408
0.000239969532515224,0x522d…62f6,1121711
0.000249709021659711,0x7ef1…e417,1122008
0.000224743439243904,0xe57e…f1b3,1122312
0.000235895575714504,0x5894…dc5a,1122612
0.000231441293005288,0xa5ab…b914,1122910
0.001081260529442944,0x531f…e9f3,1123211
0.000277968132425344,0x1819…dd54,1123507
0.000258057705691768,0x69b9…c2db,1123807
0.000225245069390144,0xdde8…3d43,1124108
0.000241359735728712,0x76c0…28c1,1124408
0.000230286164065328,0x0210…14bc,1124709
0.000232822859453520,0x2b4f…5bc8,1125009
0.000236186481570488,0x8952…5a71,1125309
0.000231300356574944,0xcefc…369d,1125607
0.000231855455676336,0xf666…7c8b,1125909
0.000237600591712672,0x59cb…0495,1126208
0.000236893186273928,0x9103…d936,1126507
0.000190556116085496,0xe689…f6b5,1126807
0.000214323173303208,0x92e9…2b6c,1127110
0.000223020363436216,0xc2c5…f80b,1127408
0.000232773869326464,0x1dae…8931,1127711
0.000226995690562080,0xc09c…ac46,1128007
0.000252549450959528,0xcf32…90b0,1128309
0.000280529820058400,0xe1fd…b001,1128610
0.000239271964369192,0x84f3…eb56,1128909
0.000195333302835888,0x9ecc…38b3,1129210
0.000243625101182440,0xac52…1e84,1129509
0.000237179471195472,0xd0b9…9d41,1129810
0.000257727221148904,0x92a9…2c49,1130110
0.000235481385695128,0xb3e8…a58c,1130407
0.000249622134737552,0x20ec…0db3,1130710
0.000239593997112464,0xeb47…d9a2,1131008
0.000244502862971640,0x8410…049e,1131307
0.000252943618853960,0x0eec…ef9b,1131608
0.000231496839208816,0xffc0…95fb,1131910
0.000219628379178816,0x6bee…bb49,1132210
0.000237639575325592,0x9d6b…c47a,1132510
0.000236578560145960,0xb341…5019,1132809
0.000228401345522576,0x4c3e…32f5,1133112
0.000229296727273880,0x31ef…7edd,1133409
0.000234207053207224,0x1b42…61a4,1133707
0.000241463796933120,0xa092…22d9,1134010
0.000233079175389160,0x473f…8b72,1134310
0.000222754154461592,0x0d78…3dc6,1134609
0.000228774756560864,0xecae…8360,1134911
0.000228988388579000,0x81f3…b64d,1135209
